Date,Open,High,Low,Close,Volume
2020-01-02,323.94,324.34,322.02,324.34,95186200
2020-01-03,322.89,323.94,321.54,322.87,111060400
2020-01-06,320.42,324.23,320.42,324.23,96820400
2020-01-07,325.28,325.84,324.01,324.87,103346000
2020-01-08,324.94,327.63,324.59,326.06,94323200
2020-01-09,327.76,328.52,326.71,328.52,90070800
2020-01-10,328.13,329.28,327.63,329.24,66976000
2020-01-13,330.71,331.71,329.66,330.59,88438800
2020-01-14,331.38,332.06,330.59,331.46,80762000
2020-01-15,330.23,330.79,329.16,330.47,98645200
2020-01-16,331.70,332.06,330.79,332.06,78752400
2020-01-17,332.50,334.34,332.38,333.86,104472800
2020-01-21,333.10,334.18,332.74,333.34,78512400
2020-01-22,333.66,333.94,331.86,332.50,90304800
2020-01-23,333.30,334.66,333.02,334.62,79906800
2020-01-24,334.30,334.82,331.82,331.94,105284400
2020-01-27,330.83,331.18,327.87,328.13,127112000
2020-01-28,329.73,331.06,329.13,330.95,105950800
2020-01-29,330.39,331.70,329.97,330.75,102478000
2020-01-30,329.13,329.93,326.63,327.23,144878800
2020-01-31,324.63,328.09,324.19,324.63,138548400
2020-02-03,325.83,329.69,325.79,328.73,121298800
2020-02-04,331.42,332.94,330.95,332.14,117090000
2020-02-05,334.10,335.14,333.86,334.66,106662400
2020-02-06,335.14,336.46,334.82,336.38,103797600
2020-02-07,335.90,336.82,334.18,334.82,101710000
2020-02-10,337.02,337.78,336.06,337.34,77616000
2020-02-11,338.46,339.66,337.70,339.26,87932400
2020-02-12,339.82,340.22,338.50,339.82,93558400
2020-02-13,339.94,340.46,338.86,339.54,89938400
2020-02-14,339.58,340.14,338.86,339.18,86772800
2020-02-18,339.66,340.22,338.90,339.66,81252000
2020-02-19,341.02,342.50,340.98,341.46,107254000
2020-02-20,339.94,340.58,337.38,337.66,123522400
2020-02-21,335.38,337.82,334.02,334.06,153574000
2020-02-24,324.19,326.75,323.51,325.67,226316400
2020-02-25,319.69,323.87,318.21,319.69,216946000
2020-02-26,321.57,323.03,317.05,317.85,195348800
2020-02-27,312.93,317.41,310.73,313.05,229994400
2020-02-28,302.85,307.73,298.29,299.97,336386400
